Page,ResponseTime,Time,Error,Status,Error Screenshot File Location,Bandwidth
Website Landing Page,21.72,11:37:58,null,PASS,null,,
Website Landing Page,5.27,11:45:20,null,PASS,null,,
Login Page,0.33,11:45:34,null,PASS,null,,
Forgot Password Page,0.71,11:45:37,null,PASS,null,,
Open an Account Page,0.23,11:45:48,null,PASS,null,,
Get OTP Mobile Number Page,18.32,11:46:8,null,PASS,null,,
Website Landing Page,6.32,11:56:26,null,PASS,null,,
Login Page,0.51,11:56:49,null,PASS,null,,
Forgot Password Page,0.49,11:56:51,null,PASS,null,,
Open an Account Page,0.18,11:57:2,null,PASS,null,,
Get OTP Mobile Number Page,2.70,11:57:7,null,PASS,null,,
Verify your e-Mail Page,53.84,11:58:1,Technical Error,FAIL,/home/apmosys/Music/NGASA/MONT_WEB_MERGED_FRAMEWORK_V5/Logs/2025/May/29/TRD_Mirae_Asset_Capital_Off_Market_Web/Verify your e-Mail Page_11_58_2.png,,
Website Landing Page,9.83,11:58:38,null,PASS,null,,
Login Page,0.32,11:58:58,null,PASS,null,,
Forgot Password Page,0.49,11:59:0,null,PASS,null,,
Open an Account Page,0.24,11:59:11,null,PASS,null,,
Get OTP Mobile Number Page,1.94,11:59:15,null,PASS,null,,
Verify your e-Mail Page,63.97,12:0:19,null,PASS,null,,
Get OTP Email Page,5.58,12:0:27,null,PASS,null,,
Login Via OTP Page,0.13,12:1:11,null,PASS,null,,
Dashboard Landing Page,60.48,12:2:31,Functional Error,FAIL,/home/apmosys/Music/NGASA/MONT_WEB_MERGED_FRAMEWORK_V5/Logs/2025/May/29/TRD_Mirae_Asset_Capital_Off_Market_Web/Dashboard Landing Page_12_2_31.png,,
