Page,PageUrl,ResponseTime,Time,Error,Status,Error Screenshot File Location,Bandwidth
Home Page,https://www.libertyinsurance.in/,7.49,16:51:13,null,PASS,null,,
Car Insurance Quote Page,https://www.libertyinsurance.in/products/motor-insurance/car-insurance-quote,8.38,16:51:25,null,PASS,null,,
Car Insurance Car Info Page,https://www.libertyinsurance.in/products/motor-insurance/car-insurance-quote,1.26,16:53:4,null,PASS,null,,
Car Insurance Car Info Page,https://www.libertyinsurance.in/products/motor-insurance/car-insurance-quote,11.51,16:53:14,Functional Error,FAIL,/home/apmosys/Music/NGASA/MONT_WEB_MERGED_FRAMEWORK_V5/Logs/2025/September/22/INS_Liberty_CarRollover/Car Insurance Car Info Page_16_53_15.png,,
Home Page,https://www.libertyinsurance.in/,2.86,16:58:18,null,PASS,null,,
Car Insurance Quote Page,https://www.libertyinsurance.in/products/motor-insurance/car-insurance-quote,9.66,16:58:31,null,PASS,null,,
Home Page,https://www.libertyinsurance.in/,7.26,17:2:5,null,PASS,null,,
Car Insurance Quote Page,https://www.libertyinsurance.in/products/motor-insurance/car-insurance-quote,6.72,17:2:15,null,PASS,null,,
Home Page,https://www.libertyinsurance.in/,6.75,17:29:47,null,PASS,null,,
Car Insurance Quote Page,https://www.libertyinsurance.in/products/motor-insurance/car-insurance-quote,7.72,17:29:59,null,PASS,null,,
Home Page,https://www.libertyinsurance.in/,22.48,17:31:39,null,PASS,null,,
Car Insurance Quote Page,https://www.libertyinsurance.in/products/motor-insurance/car-insurance-quote,7.77,17:31:50,null,PASS,null,,
Home Page,https://www.libertyinsurance.in/,26.75,17:35:13,null,PASS,null,,
Car Insurance Quote Page,https://www.libertyinsurance.in/products/motor-insurance/car-insurance-quote,7.47,17:35:24,null,PASS,null,,
Home Page,https://www.libertyinsurance.in/,2.59,17:37:49,null,PASS,null,,
Car Insurance Quote Page,https://www.libertyinsurance.in/products/motor-insurance/car-insurance-quote,8.18,17:38:1,null,PASS,null,,
Home Page,https://www.libertyinsurance.in/,2.28,17:41:35,null,PASS,null,,
Car Insurance Quote Page,https://www.libertyinsurance.in/products/motor-insurance/car-insurance-quote,10.70,17:41:49,null,PASS,null,,
Home Page,https://www.libertyinsurance.in/,2.23,17:44:20,null,PASS,null,,
Car Insurance Quote Page,https://www.libertyinsurance.in/products/motor-insurance/car-insurance-quote,7.23,17:44:30,null,PASS,null,,
Home Page,https://www.libertyinsurance.in/,2.58,17:47:8,null,PASS,null,,
Car Insurance Quote Page,https://www.libertyinsurance.in/products/motor-insurance/car-insurance-quote,9.85,17:47:21,null,PASS,null,,
Home Page,https://www.libertyinsurance.in/,2.43,17:49:58,null,PASS,null,,
Car Insurance Quote Page,https://www.libertyinsurance.in/products/motor-insurance/car-insurance-quote,17.09,17:50:18,null,PASS,null,,
Home Page,https://www.libertyinsurance.in/,7.11,17:52:45,null,PASS,null,,
Car Insurance Quote Page,https://www.libertyinsurance.in/products/motor-insurance/car-insurance-quote,7.11,17:52:55,null,PASS,null,,
Home Page,https://www.libertyinsurance.in/,2.22,17:57:15,null,PASS,null,,
Car Insurance Quote Page,https://www.libertyinsurance.in/products/motor-insurance/car-insurance-quote,12.99,17:57:31,null,PASS,null,,
Home Page,https://www.libertyinsurance.in/,7.54,17:59:47,null,PASS,null,,
Car Insurance Quote Page,https://www.libertyinsurance.in/products/motor-insurance/car-insurance-quote,14.44,18:0:4,null,PASS,null,,
Home Page,https://www.libertyinsurance.in/,2.40,18:34:58,null,PASS,null,,
Car Insurance Quote Page,https://www.libertyinsurance.in/products/motor-insurance/car-insurance-quote,11.33,18:35:12,null,PASS,null,,
