instance_name,application_freq,Desired_Count,Run_Count,success_count,Missed_Additional
"TRD_SBICAP_Securities_On_Market_Web","15","200","193","0","-200"
"TRD_SBICAP_Securities_On_Market_IOS","15","200","232","188","-12"
"TRD_SBICAP_Securities_On_Market_Android","15","200","225","173","-27"
"TRD_IDBI_Direct_On_Market_Web","15","200","229","168","-32"
"TRD_IDBI_Direct_On_Market_Android","15","200","225","159","-41"
"TRD_Mirae_Asset_Capital_On_Market_iOS","15","200","292","174","-26"
"TRD_Mirae_Asset_Capital_On_Market_Android1","15","200","335","130","-70"
"TRD_Mirae_Asset_Capital_On_Market_Android2","15","200","280","139","-61"
"TRD_Mirae_Asset_Capital_On_Market_Android3","15","200","314","120","-80"
"TRD_Mirae_Asset_Capital_On_Market_Android4","15","200","292","162","-38"
"BNK_AXIS_Corp_FMConnect_On Market","15","200","16","0","-200"
"Geojit_On_Market","15","200","172","65","-135"
"TRD_ABML_On_Market_Android","15","200","317","147","-53"
"TRD_Mirae_Asset_Capital_On_Market_Web_5MIN(1)","5","600","620","407","-193"
"TRD_Mirae_Asset_Capital_On_Market_Web_15MIN","15","200","292","149","-51"
"TRD_Mirae_Asset_Capital_On_Market_Web_5MIN(2)","5","600","635","313","-287"
